DateTime," NDWI (NIR/SWIR1) (Landsat 5/7/8 SR) at Polygon 1, 2019-08-03 to 2021-10-18"," NDWI (NIR/SWIR1) (Landsat 5/7/8 SR) at Polygon 2, 2019-08-03 to 2021-10-18"
8/9/2019,-0.1658,-0.0342
8/17/2019,-0.0152,
8/18/2019,-0.1729,-0.0344
8/25/2019,-0.1755,-0.0345
8/26/2019,-0.1627,-0.0233
9/2/2019,-0.1722,-0.023
9/3/2019,-0.1885,-0.0284
9/10/2019,-0.11,0.0013
9/11/2019,-0.1669,-0.0093
9/18/2019,-0.1468,
9/19/2019,-0.1906,-0.017
9/26/2019,-0.0989,0.024
9/27/2019,-0.1633,-0.007
10/4/2019,-0.1631,0.047
10/5/2019,-0.1313,
10/12/2019,-0.1554,0.0593
10/13/2019,-0.1914,0.0214
10/20/2019,-0.1801,0.1011
11/5/2019,-0.0377,0.2225
11/6/2019,-0.1004,0.2336
11/13/2019,-0.093,
11/14/2019,-0.1556,0.1532
11/29/2019,0.1572,0.5914
12/7/2019,-0.0692,0.4071
12/31/2019,0.1542,0.6562
1/8/2020,-0.0893,0.3747
1/9/2020,-0.11,0.266
1/24/2020,-0.1136,0.3165
1/25/2020,-0.1563,0.3082
2/2/2020,-0.1336,0.6689
2/10/2020,0.7473,
2/17/2020,0.2649,0.5714
2/26/2020,0.1103,0.5507
3/4/2020,-0.0774,0.259
3/5/2020,-0.0915,0.1978
3/21/2020,0.0795,
3/28/2020,0.0953,
4/5/2020,-0.2512,0.0582
4/6/2020,-0.23,0.0209
4/13/2020,0.0794,
4/14/2020,0.0971,
4/21/2020,-0.2419,-0.0163
4/29/2020,-0.2283,-0.0699
5/7/2020,-0.237,-0.0767
5/8/2020,-0.211,-0.0684
5/16/2020,-0.2193,
5/23/2020,-0.1905,-0.0351
5/31/2020,-0.1799,-0.0499
6/1/2020,-0.1995,-0.0577
6/8/2020,-0.1996,-0.0459
6/16/2020,-0.1331,-0.0161
6/17/2020,-0.1787,-0.0277
6/24/2020,-0.09,
7/2/2020,-0.1801,-0.0146
7/3/2020,-0.1259,0.0788
7/10/2020,-0.2028,-0.0502
7/11/2020,-0.1795,-0.0441
7/19/2020,-0.1213,0.0302
7/26/2020,-0.1872,0.0035
7/27/2020,-0.059,
8/3/2020,-0.1658,-0.0272
8/11/2020,-0.1968,0.1441
8/12/2020,0.007,
8/19/2020,-0.1542,-0.027
8/20/2020,-0.1613,0.0582
8/27/2020,-0.2,-0.0129
8/28/2020,-0.1117,0.0275
9/4/2020,-0.1919,-0.0295
9/5/2020,-0.2056,-0.026
9/12/2020,-0.2134,-0.0132
9/13/2020,-0.19,-0.0183
9/20/2020,-0.169,0.0044
9/21/2020,-0.2035,-0.0107
9/28/2020,-0.2076,0.0189
9/29/2020,-0.1979,-0.006
10/6/2020,-0.2006,0.0027
10/7/2020,-0.215,0.0032
10/14/2020,-0.2259,0.011
10/22/2020,-0.2055,0.0347
10/30/2020,-0.0959,0.295
10/31/2020,-0.1661,0.2043
11/8/2020,-0.2038,0.1187
11/15/2020,-0.2129,0.1276
11/16/2020,-0.2014,0.0977
11/23/2020,-0.1468,0.1012
12/9/2020,0.0108,0.4167
12/17/2020,0.141,0.289
12/25/2020,-0.1006,0.4092
12/26/2020,-0.1358,0.3828
1/2/2021,0.0805,0.5135
1/3/2021,-0.0037,0.5031
1/10/2021,0.2351,0.8544
1/11/2021,-0.0553,0.4773
1/18/2021,-0.0362,0.2107
1/27/2021,0.7191,
2/3/2021,-0.1481,0.3234
2/4/2021,0.0853,
2/11/2021,-0.1791,0.2346
2/12/2021,-0.1783,0.2597
2/19/2021,0.1104,0.5247
2/20/2021,-0.0184,0.2557
2/28/2021,-0.1061,0.2602
3/7/2021,-0.0921,0.2574
3/24/2021,0.1816,
3/31/2021,-0.1314,0.1811
4/1/2021,-0.1899,0.1608
4/8/2021,0.0479,
4/9/2021,-0.2315,0
4/24/2021,-0.2539,-0.0254
4/25/2021,-0.2332,-0.0542
5/2/2021,-0.2118,-0.0543
5/19/2021,-0.2104,-0.0289
5/26/2021,-0.0095,
5/27/2021,-0.1962,-0.0698
6/3/2021,-0.1854,-0.0547
6/4/2021,-0.1973,-0.0494
6/11/2021,-0.178,-0.0324
6/12/2021,-0.1673,-0.0486
6/19/2021,-0.0149,
6/20/2021,-0.1701,-0.0078
7/5/2021,-0.152,-0.0336
7/6/2021,-0.1544,-0.013
7/13/2021,0.1639,0.089
7/21/2021,-0.1437,-0.0186
7/22/2021,-0.1399,0.0296
7/29/2021,-0.1552,0.0088
7/30/2021,-0.1442,-0.0214
8/6/2021,-0.0976,-0.0555
8/7/2021,-0.044,
8/14/2021,-0.1441,0.0178
8/15/2021,-0.1033,0.0105
8/22/2021,-0.1472,0.001
8/23/2021,-0.1356,0.0081
8/30/2021,-0.1513,0.0486
8/31/2021,-0.1556,0.0142
9/7/2021,-0.1344,0.0053
9/8/2021,-0.1507,0.0433
9/15/2021,-0.1786,0.0151
9/16/2021,-0.1685,-0.001
9/24/2021,-0.1698,0.0465
10/1/2021,0.0518,0.2103
10/2/2021,-0.1225,0.165
10/9/2021,-0.1753,0.0265
10/10/2021,-0.1813,0.0589
10/17/2021,-0.2036,0.059
10/18/2021,-0.1552,-0.0403
